time,block,txnIndex,txnHash,borrowRate,borrowRateMode,value,currency
1680060980,15934188,60,0x99a3e96c987426b2d4720c383f4b5375381e29413a0f6b78b4ffcee22d929634,0.1706382169467369,2,3034109410327687470,0xD533a949740bb3306d119CC777fa900bA034cd52
1680061010,15934207,93,0x7f22595417b965cdc8acceb2f364e987ed550b7d72b9ae70df82a01077d76b2f,0.15038319594780283,2,150000.0,USDT
1680061130,15934256,104,0x2cfc234e7c55f0c36884dc57affe25df47a92aae3198aab812ee3cb3fb055f15,0.025470046614885385,2,4600000000000000000000,DAI
1680061140,15934260,8,0x2b041953f26c7180c5f726716aefed4672768242486b8febc766683366363855,0.011382040157133825,2,5.0,WBTC
1680061140,15934261,119,0x1aca7f948c9eafc6fe93d45a7eb6c299a89367f973d7147c1b745b3fb00a0b90,0.024863217006358056,2,1000000.0,USDC
1680061160,15934266,279,0x474db9f2369f82033a71706276ea3b03263481258bc4dff7683d28748154915e,0.024874995268068977,2,250000.0,USDC
1680061210,15934277,136,0xf086aead0c9b9c996b2894d10dfde26b3708b9a8e669a8aa1b0de17006bca962,0.025453865745421182,2,10000000000000000000000,DAI
1680061220,15934280,130,0xb87e5833d8e9a87374794b0b2fce8d85a7c930cc4212fba259064ef5c8759e60,0.1488706870740225,2,175000.0,USDT
1680061350,15934300,241,0x7ca9bbc83fcd512a3d19767d2b509f43bd94e6d84db693eee1780a446cc9f1fb,0.01930898121216584,2,10000000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
1680061390,15934303,72,0xbc85397a60f6518561f697c9a4841a66bbceee7072825f8b56b62de5deacc9e4,0.25523149137655726,2,105537.028789,USDT
1680061720,15934358,227,0x969acd01d898d93cd5cb766044ee04a35b34fdec93a2b36de5bed2cdcc64711a,0.02457306075173418,2,100000.0,USDC
1680061770,15934366,224,0xf024cbc1ff8ca94bf1f507b1161338ee2c596137f00301b52f23d751c21edb23,0.011431539806357284,2,8.0,WBTC
1680061790,15934370,78,0x0c5fc635651c529db8c45b8d67d5bb450fc80791abe3c0a467238f9a2871a353,0.03450815893646227,2,4000000000000000000000,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51
1680061910,15934396,142,0x4b60f480bf5e32c00017560a5eed5135cffe4910c43284362f4ae5e4e270c4c1,0.02426162630542944,2,15000.0,USDC
1680061950,15934406,21,0x79ddb4168268ed27cdc1b4b1db604f86fa787788e2d589ce62fe3cc9403ba52a,0.025439260673004095,2,30500000000000000000000,DAI
1680062160,15934445,192,0xd6544b352e1fdfed94d2584324b1351a9a8bf9105d047b927a35eba81ccdb7f2,0.2680587020712054,2,500000.0,USDT
1680062190,15934451,106,0x1e940706a82e32846ddec97c07ac490f1ab9a530f895719948b803f34676e7b7,0.2696675069091624,2,86070.700631,USDT
1680062360,15934483,110,0x194a1bdebb7cfa0909999f767983e1cc7c6adc7dee47c213576ebecbc033d204,0.024244412791321255,2,15000.0,USDC
1680062370,15934487,98,0xba068e7eff175f000953c62d34f06d4c5824a3e6a11f480fbbfc818e29647908,0.28872691546069434,2,80000.0,USDT
1680062850,15934576,174,0x5c105e560464d49b6b8c884b562a9d40dcd34c4e76bca061ea7bc9e246f8a5df,0.024368862428997606,2,1000000.0,USDC
1680062900,15934587,153,0x7c7f4abebfa594cf3bd7d23a4a097e0e1475ccb8899572cff28b33d069199ebd,0.33137193785679225,2,500000.0,USDT
1680063060,15934617,37,0x2a6780032454c8bedb9e7693d6f6eca88908db6f2890fc2138792dd10dbacf38,0.025342298233539257,2,50000000000000000000000,DAI
1680063230,15934656,14,0x5373108408192de93e56b62ac87cbf32ba96b7e73fbe0a4f1410a92bcf2ac74c,0.024341549964520443,2,6000.0,USDC
1680063330,15934670,84,0x7814a5a5e069e1303e0db025845545f4efcda1391401899dce73ff7e7152d24c,0.024342020881603876,2,10000.0,USDC
1680063370,15934682,140,0xf27756f521fc5ad32ac24790b79d7c9f1309a79410cb30260f2591f2f65b2bf7,0.024365756477184822,2,500000.0,USDC
1680063520,15934727,162,0x7fc3408226c7d92a0bd2b2bf2ec058f4c04bd5b849ee4895113079e079b4d7ea,0.02437674559315741,2,245000.0,USDC
